greeter	screener	dispenser	medic	resources	throughput	time
1	4	4	11	20	313.0	43.3162891192
1	4	16	11	32	620.666666667	28.2198630878
1	10	14	7	32	628.666666667	28.2875193236
19	5	12	1	37	900.333333333	60.7442187989
1	6	25	7	39	631.666666667	28.3176640504
4	6	25	5	40	1934.0	29.4699002864
15	1	27	6	49	2025.33333333	52.903878149
4	6	34	6	50	2479.66666667	23.9577196451
4	6	42	4	56	2495.66666667	23.9407494546
4	6	41	6	57	2493.66666667	23.4477202233
12	6	38	1	57	2860.0	44.3773656686
8	12	34	6	60	2609.33333333	31.8464375667
9	12	38	1	60	2878.0	47.0990392614
9	6	41	6	62	3120.33333333	39.3408310558
4	12	37	11	64	2466.33333333	23.2703982942
4	14	41	6	65	2465.66666667	23.2144655725
9	12	37	7	65	2841.33333333	30.7037387795
9	12	39	5	65	3008.33333333	32.4488284485
12	6	41	6	65	3134.33333333	42.2367981037
5	15	42	4	66	3070.0	22.6123411193
13	6	41	6	66	3218.66666667	42.3711954853
9	15	42	4	70	3207.33333333	28.8825840094
5	15	42	11	73	3082.0	22.3346004774
9	3	55	7	74	3879.33333333	37.8556122822
15	3	55	5	78	4171.0	40.565487897
5	13	57	5	80	3078.0	22.0918771947
20	15	42	4	81	3270.0	33.4697110563
12	6	60	4	82	4606.0	34.4701609927
8	29	41	6	84	3108.0	28.1681113975
8	13	57	7	85	4317.0	20.7854147878
9	14	60	5	88	4593.66666667	21.9524806458
12	6	60	11	89	4609.33333333	34.1651306627
9	12	60	11	92	4457.33333333	21.8316065781
20	6	60	7	93	4636.33333333	34.740882271
7	35	60	7	109	4296.33333333	19.0078179825
15	26	58	11	110	4418.0	21.5716914091
16	26	58	11	111	4404.33333333	20.7976489005
16	26	60	11	113	4547.33333333	20.166503789
22	26	58	11	117	4464.66666667	18.0401913378
22	30	60	6	118	4592.33333333	20.4743223379
17	37	60	5	119	4598.66666667	22.069746174
22	14	60	23	119	4655.0	28.4268025192
13	42	60	5	120	4616.0	23.1905808761
22	30	58	11	121	4471.66666667	18.1759531506
13	37	60	11	121	4616.33333333	21.3917334994
15	26	60	21	122	4603.33333333	20.5422194704
16	26	60	21	123	4536.0	20.0830638518
22	35	60	7	124	4570.33333333	19.1993911219
21	37	60	7	125	4620.66666667	19.1113255026
22	26	58	23	129	4468.33333333	18.0262469502
22	30	60	21	133	4512.0	17.5765242253
24	30	60	23	137	4625.66666667	17.2324561706
30	44	60	23	157	4658.66666667	17.1754987407
