greeter	screener	dispenser	medic	resources	throughput	time
5	3	3	3	14	182.666666667	29.9176337345
3	3	4	5	15	105.666666667	29.6959189653
6	3	3	3	15	202.333333333	30.4777196207
3	3	7	3	16	103.333333333	29.2558512858
7	3	3	3	16	226.333333333	32.0335737506
6	3	4	4	17	221.666666667	28.7004748654
7	3	4	4	18	244.666666667	28.5763770905
7	3	6	3	19	248.333333333	27.9534416411
8	3	5	3	19	285.666666667	29.0915492107
7	3	7	3	20	250.333333333	28.3555030721
7	3	8	3	21	250.0	27.849718742
8	3	7	3	21	276.666666667	28.9125319249
8	4	6	3	21	286.333333333	29.199601637
7	3	11	3	24	256.0	28.3535278393
