greeter	screener	dispenser	medic	resources	throughput	time
3	3	4	3	13	110.666666667	28.8365371653
3	5	3	3	14	111.666666667	28.5449364578
3	4	5	3	15	112.333333333	28.6354177314
6	4	3	3	16	203.0	28.7285562202
6	3	4	3	16	204.0	28.7702812965
7	3	3	3	16	215.333333333	32.7713190263
6	4	4	3	17	207.666666667	28.5274222105
7	3	4	3	17	245.0	29.8504742073
3	4	8	3	18	109.666666667	28.4650742812
6	5	4	3	18	209.0	28.8054565899
8	3	3	4	18	262.333333333	31.3132082291
6	4	5	4	19	214.0	27.8721410211
6	5	5	3	19	218.0	28.268765794
7	3	5	4	19	246.666666667	28.7008513203
8	3	5	3	19	284.666666667	29.0825481001
8	3	6	3	20	280.333333333	28.3824146658
8	4	5	3	20	281.333333333	28.4393613259
8	3	7	3	21	282.0	28.1048908982
8	4	7	3	22	285.333333333	27.9815689757
8	3	8	3	22	287.333333333	28.6533805908
8	5	6	4	23	292.333333333	28.6361937378
8	7	6	3	24	286.0	28.3396760691
8	7	8	4	27	285.666666667	27.9713127464
8	7	7	5	27	287.666666667	28.3131703327
8	8	9	3	28	286.666666667	28.2401095415
8	5	10	7	30	288.333333333	28.5889332753
