greeter	screener	dispenser	medic	resources	throughput	time
1	11	6	4	22	469.333333333	35.3948087735
12	11	6	4	33	474.333333333	38.3260191175
4	6	25	6	41	1900.33333333	30.1370089932
4	6	27	6	43	2067.0	27.6918036911
24	11	6	4	45	471.0	27.5595634041
4	6	34	1	45	2449.66666667	32.7927662574
22	10	14	5	51	1089.33333333	25.7964731988
18	11	21	4	54	1635.66666667	26.6773242785
5	11	35	5	56	2679.33333333	26.1434602311
22	14	16	5	57	1215.33333333	25.9120503676
12	6	38	1	57	2986.0	35.09587807
4	6	34	14	58	2461.0	23.9705461519
15	7	35	5	62	2727.66666667	26.81049302
5	12	41	6	64	3037.33333333	22.6357284055
12	6	41	6	65	3136.66666667	27.855310199
15	3	41	6	65	3159.66666667	36.7249207941
5	12	52	1	70	3091.66666667	23.6866718431
8	17	41	6	72	3117.0	27.8277990815
16	14	41	1	72	3203.66666667	34.625908644
5	12	55	1	73	3062.66666667	23.2434894692
22	6	41	7	76	3109.33333333	23.4494614879
15	14	41	6	76	3135.66666667	25.5611312104
5	12	55	5	77	3061.33333333	22.0785267437
16	14	41	6	77	3126.0	24.6156456398
19	12	41	6	78	3128.0	21.454890071
15	3	55	5	78	4143.0	33.0839032801
12	6	60	1	79	4605.66666667	29.6092422472
12	6	57	7	82	4365.33333333	23.2046408821
22	14	41	6	83	3167.0	21.4290138938
12	6	60	6	84	4642.33333333	21.9650246861
24	14	41	6	85	3095.0	21.0710190256
8	11	60	7	86	4521.66666667	19.5084872261
19	14	52	6	91	4024.0	19.1728401129
22	14	57	6	99	4416.0	18.3190066027
22	11	60	7	100	4528.66666667	17.8101601489
22	17	58	11	108	4469.0	17.7292344041
19	24	60	6	109	4675.33333333	17.9678769618
22	14	60	23	119	4547.66666667	17.7289528757
19	24	60	21	124	4633.66666667	17.9252371718
25	39	60	1	125	4694.0	26.0218986441
25	39	60	5	129	4679.0	17.4858372982
25	39	60	23	147	4620.0	17.4042498538
