greeter	screener	dispenser	medic	resources	throughput	time
3	3	3	3	12	107.666666667	28.0314134061
3	3	4	5	15	109.333333333	27.9465143558
5	3	4	3	15	180.333333333	29.9276660064
3	5	5	3	16	108.0	27.7622506157
3	3	7	3	16	108.0	27.7622506157
4	5	4	3	16	144.0	28.8867833229
5	3	5	3	16	173.666666667	29.3702269106
7	3	3	3	16	222.0	32.9786553884
7	3	4	3	17	246.666666667	28.5934018996
4	4	7	3	18	144.666666667	28.4366089785
8	3	4	3	18	272.333333333	29.6223872837
8	3	5	3	19	285.0	28.761324056
7	3	7	3	20	249.0	27.9100824234
8	3	7	3	21	281.333333333	28.6782176334
8	4	7	3	22	279.0	28.5763932156
8	3	8	3	22	286.0	28.7735659997
8	3	10	3	24	288.0	28.6438352483
8	5	10	4	27	288.666666667	28.8146259252
8	4	10	5	27	288.666666667	28.8146259252
