greeter	screener	dispenser	medic	resources	throughput	time
1	1	2	1	5	145.666666667	53.7269481865
1	4	4	1	10	315.333333333	53.0087183537
1	6	4	1	12	312.666666667	51.0435411246
1	3	9	1	14	674.0	46.7826065975
1	4	9	1	15	685.666666667	46.9701984225
1	3	12	1	17	910.666666667	42.0629324793
1	4	12	1	18	935.333333333	43.9291361575
1	5	12	1	19	932.666666667	43.6938104587
1	4	16	1	22	1242.66666667	37.9011442649
1	5	19	1	26	1459.0	35.7294531221
1	3	25	1	30	1753.0	28.5620147607
1	4	25	1	31	1868.33333333	28.3083531688
1	5	25	1	32	1880.66666667	30.2910510398
1	6	25	1	33	1926.66666667	30.7367684668
1	6	27	1	35	2059.33333333	29.5044209501
1	4	31	1	37	1895.33333333	27.3414383333
1	5	31	1	38	2089.0	27.1385494801
1	6	31	1	39	2283.33333333	26.9587879574
1	6	32	1	40	2304.0	26.9731613747
1	6	33	1	41	2284.0	26.4403619741
1	8	31	1	41	2376.0	29.3456547654
1	9	32	1	43	2467.0	29.8949571732
1	7	35	1	44	2517.33333333	26.0407308686
1	8	35	1	45	2629.0	26.4137408126
1	10	35	1	47	2636.0	29.2457183345
1	8	39	1	49	2630.0	25.8118101184
1	11	35	2	49	2632.33333333	28.5512089922
1	9	40	1	51	2856.33333333	25.1413750234
1	9	41	1	52	2849.66666667	24.8894757835
1	10	41	1	53	3054.33333333	24.8378075237
1	10	42	1	54	3001.33333333	24.7119505866
1	11	41	1	54	3128.66666667	24.8645761291
1	11	44	1	57	3203.66666667	24.1863116904
1	11	47	1	60	3291.0	23.8753321081
1	14	44	2	61	3304.33333333	25.604721371
1	15	44	1	61	3349.66666667	27.0201016996
1	14	47	1	63	3490.0	23.9506432553
1	15	47	1	64	3538.66666667	25.0734198965
1	14	50	1	66	3732.33333333	23.175169407
1	15	50	1	67	3749.0	23.6193717338
1	14	52	1	68	3793.0	22.613649935
1	14	53	1	69	3767.33333333	22.6038406617
1	17	50	1	69	3808.33333333	24.5138115156
1	17	53	1	72	4025.0	23.0882254829
1	14	57	1	73	3775.33333333	22.4096401422
1	15	57	1	74	3968.66666667	21.7809195145
1	15	58	1	75	3981.66666667	21.9732675057
1	17	57	1	76	4258.0	21.4366000383
1	17	58	1	77	4265.33333333	20.9721858009
1	17	60	1	79	4311.0	21.1051086442
1	20	57	1	79	4315.66666667	22.7947016774
1	20	58	1	80	4419.0	22.7648588465
1	20	60	1	82	4552.33333333	21.8217082005
1	37	60	1	99	4553.0	23.0644233542
1	57	44	1	103	3304.0	20.8523598668
1	58	44	1	104	3389.0	20.6026355115
1	54	50	1	106	3826.0	20.5470245088
1	47	57	1	106	4388.33333333	21.0351259516
1	58	47	1	107	3556.33333333	20.0528392914
1	47	58	1	107	4475.33333333	21.0949326045
1	54	52	1	108	3964.0	20.7784930798
1	57	50	1	109	3844.0	19.710528776
1	47	60	1	109	4613.33333333	20.6874614445
1	58	50	1	110	3860.33333333	19.4967597523
1	57	52	1	111	3965.66666667	19.2815315568
1	60	50	1	112	3799.33333333	19.0952758112
1	58	52	1	112	3986.66666667	19.1265283544
1	58	53	1	113	4110.0	18.6208913492
1	54	57	1	113	4411.66666667	19.2141433869
1	54	58	1	114	4457.66666667	19.209016297
1	57	57	1	116	4229.66666667	18.65933619
1	58	57	1	117	4361.66666667	17.8995300621
1	58	58	1	118	4433.33333333	18.2627617292
1	58	60	1	120	4604.0	17.7097098241
