greeter	screener	dispenser	medic	resources	throughput	time
4	6	12	13	35	919.333333333	47.1355302156
1	20	12	5	38	616.0	28.3449959837
4	6	25	5	40	1381.0	38.0793785741
4	6	25	6	41	1381.33333333	38.0008936182
5	6	25	7	43	1390.0	40.0141176907
15	1	27	6	49	1134.66666667	33.8653215373
5	6	38	1	50	1408.66666667	51.6541262837
6	20	21	4	51	1555.0	44.4462435829
6	20	21	5	52	1615.0	38.6778179557
15	6	25	7	53	1811.66666667	35.0275895118
22	1	27	6	56	1403.0	27.6315433428
12	6	38	1	57	1822.0	47.3690437538
22	6	25	7	60	1947.0	31.016451975
5	28	27	1	61	2036.0	50.3794831028
5	14	36	7	62	2713.33333333	25.8566656252
9	12	41	6	68	2788.0	32.9782081575
4	22	39	5	70	2444.33333333	24.5397088018
18	13	38	1	70	2809.66666667	47.7883760994
9	14	41	7	71	2990.66666667	31.8935052991
5	26	41	1	73	3000.33333333	33.8465431625
4	26	39	6	75	2442.66666667	24.2459217702
5	14	36	20	75	2747.0	25.636247985
22	10	38	5	75	2873.0	26.907397162
22	10	38	6	76	2929.66666667	25.9659413154
24	10	38	6	78	2886.0	25.9330693946
22	14	41	4	81	3122.0	31.3564703744
22	14	41	6	83	3079.0	27.797126149
8	26	46	3	83	3536.0	41.6283615117
4	14	52	14	84	2462.66666667	23.4607257672
25	12	41	6	84	3039.66666667	26.736035917
22	14	41	7	84	3092.66666667	27.5102268284
25	14	41	6	86	3142.66666667	29.3469340414
19	14	52	1	86	3741.33333333	48.7604984594
24	13	50	1	88	3525.33333333	35.8869896212
19	14	52	4	89	3761.33333333	26.9340094229
5	41	37	7	90	2793.0	24.6081338484
5	41	39	5	90	2887.66666667	24.8702788687
8	29	52	1	90	3948.33333333	44.6477339541
19	14	52	7	92	3702.66666667	22.9674080117
22	14	52	5	93	3792.0	23.0963021394
5	26	41	24	96	3009.66666667	22.7027604213
5	28	57	7	97	3080.33333333	22.344918973
22	13	57	7	99	3607.66666667	22.710785044
18	20	57	4	99	4344.66666667	33.0340540171
24	13	57	7	101	3612.66666667	22.9521816233
16	26	60	1	103	4621.33333333	43.5188088412
9	27	58	11	105	4385.33333333	21.8465491889
22	17	58	11	108	4306.33333333	20.9198176525
16	26	60	7	109	4524.0	28.5346599961
18	20	60	13	111	4606.66666667	21.4913585987
22	20	60	23	125	4523.0	21.1697869127
9	39	60	21	129	4545.66666667	20.6011992431
25	39	60	13	137	4643.33333333	22.9166277936
25	39	60	21	145	4630.33333333	22.4564330343
8	58	58	24	148	4414.66666667	20.0484778283
42	26	60	21	149	4611.66666667	22.253188756
23	59	52	28	162	3999.66666667	18.6087887094
23	58	58	24	163	4459.33333333	17.8969895694
