greeter	screener	dispenser	medic	resources	throughput	time
1	3	2	1	7	146.333333333	53.9996458451
1	3	3	1	8	226.333333333	56.2959036814
1	3	4	1	9	309.333333333	54.4694439985
1	6	2	1	10	150.666666667	50.7660034207
1	4	4	1	10	313.333333333	53.6501150681
1	6	3	1	11	250.0	51.5744751784
1	3	6	1	11	459.333333333	53.9740343724
1	6	4	1	12	297.333333333	52.0912104015
1	3	7	1	12	554.333333333	53.5459674512
1	8	4	1	14	333.0	48.8936073345
1	3	9	1	14	685.0	53.0933292872
1	12	2	1	16	161.0	43.0091828681
1	9	6	1	17	491.0	46.7968726076
1	6	9	1	17	711.0	49.7265444856
1	3	12	1	17	899.333333333	50.6829377224
1	9	7	1	18	551.333333333	46.4386032958
1	1	15	1	18	1156.66666667	53.2554242036
1	13	4	1	19	321.666666667	42.4882052094
1	10	7	1	19	540.333333333	45.4195653677
1	9	8	1	19	610.333333333	45.9291100436
1	8	9	1	19	692.0	47.5211641627
1	5	12	1	19	908.0	49.8313729197
1	3	14	1	19	1054.33333333	51.3411889361
1	14	4	1	20	301.0	41.412181739
1	11	7	1	20	533.666666667	44.0349688641
1	9	9	1	20	698.333333333	45.8609032196
1	6	12	1	20	898.666666667	48.4026126856
1	3	15	1	20	1163.0	50.5447405533
1	7	12	1	21	901.666666667	47.6838251325
1	3	16	1	21	1185.0	50.9126711661
1	13	7	1	22	545.0	42.4656356814
1	6	14	1	22	1102.33333333	48.4137365425
1	4	16	1	22	1241.33333333	49.5510708125
1	14	7	1	23	571.333333333	41.5725911739
1	12	9	1	23	723.0	42.1544959286
1	9	12	1	23	954.666666667	45.4850214649
1	13	9	1	24	741.333333333	41.4642965992
1	8	14	1	24	1064.33333333	45.904052119
1	17	6	1	25	462.666666667	37.5923320719
1	7	16	1	25	1262.0	46.9310251524
1	3	20	1	25	1470.0	49.621271036
1	10	14	1	26	1075.33333333	43.7160865357
1	8	16	1	26	1238.33333333	46.1867982875
1	5	19	1	26	1485.66666667	46.8179056016
1	3	21	1	26	1632.33333333	48.9006343423
1	13	12	1	27	955.333333333	40.7077786522
1	9	16	1	27	1201.33333333	43.8336846245
1	18	8	1	28	635.666666667	36.453497106
1	14	12	1	28	910.333333333	40.0184051951
1	1	25	1	28	1866.0	49.5583409032
