greeter	screener	dispenser	medic	resources	throughput	time
1	20	5	1	27	404.333333333	40.3708747405
1	6	25	1	33	623.666666667	28.2299275453
4	6	12	13	35	936.333333333	48.5805882263
4	6	25	1	36	1805.33333333	40.5906052215
4	6	25	2	37	1831.33333333	36.7073880134
4	6	25	5	40	1826.66666667	34.376391994
8	6	25	1	40	1876.66666667	59.7244150903
1	20	12	13	46	625.0	28.2626087493
15	1	27	4	47	2147.33333333	42.4968685793
1	13	35	6	55	625.333333333	28.2322378747
24	1	27	4	56	2022.66666667	41.4130540006
25	1	27	4	57	2121.33333333	40.4878152748
12	6	38	1	57	2884.66666667	46.8169530053
15	1	39	5	60	2923.33333333	35.0540457866
5	27	27	4	63	2044.66666667	33.9192558931
5	13	35	11	64	2641.0	25.922767875
12	6	47	1	66	3318.0	37.3393464441
15	3	46	3	67	3330.0	33.4047871447
5	28	35	3	71	2647.33333333	29.9025755599
15	3	55	4	77	3351.0	32.9322460769
5	13	57	4	79	3057.33333333	22.3780328117
12	6	57	4	79	3355.0	34.7302306028
18	13	47	1	79	3580.0	51.9696292383
5	27	46	3	81	3068.33333333	26.8336792236
20	3	55	5	83	4083.0	27.7017521653
24	3	55	5	87	4087.33333333	27.3263473721
15	13	57	2	87	4260.66666667	45.3899512658
16	13	57	2	88	4289.66666667	37.5987180013
5	13	57	14	89	3057.33333333	22.0819921784
18	13	57	1	89	4298.33333333	44.481155178
5	34	46	6	91	3082.33333333	22.4953932058
5	27	55	5	92	3081.0	22.0898016822
18	13	57	4	92	4346.33333333	33.7269647669
16	13	57	7	93	4321.66666667	29.8711817289
5	26	52	11	94	3078.33333333	21.7948232476
7	35	46	6	94	3478.33333333	25.2350789696
10	13	57	14	94	4208.33333333	27.6331967221
22	13	57	2	94	4371.0	39.4139728459
7	35	46	7	95	3460.0	25.2144269249
15	20	57	4	96	4359.33333333	33.0392854283
5	28	57	7	97	3079.66666667	21.8725135505
22	13	57	5	97	4326.66666667	32.2517059929
18	13	60	7	98	4564.33333333	28.5857965389
8	29	52	11	100	3938.66666667	23.4234986831
5	26	57	14	102	3082.66666667	21.8920410399
5	29	58	11	103	3084.33333333	21.8729380191
8	29	52	14	103	3953.66666667	22.5907914982
7	35	57	7	106	4225.33333333	19.687739659
8	29	58	11	106	4379.33333333	20.767253332
16	26	60	7	109	4590.33333333	30.3113435666
8	26	60	17	111	4503.0	19.6433074141
7	35	57	14	113	4216.33333333	19.5583102222
8	29	60	17	114	4572.0	19.2097765926
15	29	60	23	127	4580.66666667	24.0675366844
9	39	60	23	131	4613.66666667	20.4942767872
13	37	60	23	133	4643.33333333	21.3879213481
18	51	60	11	140	4695.66666667	20.2571422465
22	51	53	18	144	4103.33333333	18.9113671537
22	41	60	21	144	4666.33333333	19.3727047718
22	58	53	19	152	4014.0	18.6321788245
38	51	53	17	159	4082.33333333	18.6897447222
38	51	53	18	160	4029.66666667	18.5268811367
22	58	53	37	170	4043.33333333	18.6262957495
22	58	55	47	182	4153.0	18.5011116502
24	58	55	47	184	4181.0	18.8286930179
18	51	60	58	187	4622.66666667	18.3506508874
24	58	60	53	195	4582.66666667	17.5925393816
