greeter	screener	dispenser	medic	resources	throughput	time
1	1	27	5	34	630.666666667	28.5325542298
4	6	25	1	36	1933.33333333	29.753364704
1	6	25	6	38	632.666666667	28.1726012613
4	1	27	6	38	2010.33333333	43.9810229186
9	1	27	1	38	2064.33333333	55.6263141817
4	6	25	6	41	1934.66666667	29.750501946
16	1	27	4	48	2062.33333333	53.5898163945
15	1	27	6	49	2096.0	54.7206470445
4	6	35	5	50	2463.0	23.8918673204
4	6	38	4	52	2442.66666667	23.6998692451
8	6	38	4	56	2900.33333333	29.5730973159
4	6	41	6	57	2460.0	23.7253608398
12	6	38	1	57	2951.66666667	47.9299907014
12	6	38	2	58	2904.0	35.5599312171
12	6	38	4	60	2904.33333333	35.107549147
12	1	41	6	60	3177.66666667	50.9781924467
8	6	47	6	67	3570.0	25.1789687365
19	14	32	5	70	2477.0	23.4524212589
12	6	47	6	71	3600.0	33.1633592187
18	13	39	5	75	2962.66666667	23.2405431172
15	3	55	5	78	4219.33333333	40.7966956937
19	13	41	6	79	3217.33333333	22.1152413572
15	6	58	1	80	4412.66666667	39.8480642634
18	13	47	4	82	3668.66666667	22.1779105843
22	14	36	11	83	2766.0	22.0720167654
18	13	47	6	84	3671.0	21.089855522
12	6	60	6	84	4516.0	28.6449806929
8	6	60	11	85	4545.33333333	19.5375607449
9	12	60	11	92	4558.33333333	20.7534372277
18	13	57	6	94	4381.66666667	19.3022804231
18	13	57	7	95	4378.33333333	19.2655377251
22	13	57	7	99	4309.0	18.6603571088
24	13	57	5	99	4347.66666667	18.9355583421
24	13	58	6	101	4445.0	18.4010782644
18	15	57	11	101	4448.0	19.2281105345
25	13	57	7	102	4414.33333333	18.087752385
18	13	60	11	102	4658.0	18.5079932294
24	13	58	9	104	4482.66666667	18.1050689834
25	15	58	9	107	4446.33333333	18.0738338732
24	17	58	11	110	4417.66666667	17.6847542005
13	37	60	1	111	4660.33333333	33.9662469663
24	17	60	23	124	4481.0	17.8084594896
22	37	58	11	128	4488.33333333	17.6691166756
25	39	60	11	135	4600.33333333	17.7642105114
19	37	60	23	139	4611.33333333	18.0509034232
22	37	60	23	142	4608.33333333	17.7784242672
