greeter	screener	dispenser	medic	resources	throughput	time
10	3	6	1	20	476.333333333	40.2431351859
20	1	6	1	28	478.666666667	63.3159001164
10	6	14	1	31	875.666666667	27.4448035755
12	4	16	1	33	1042.33333333	27.3691935697
15	1	16	1	33	1112.33333333	40.0070968687
12	5	19	1	37	1065.33333333	27.0565715627
15	6	16	1	38	1176.33333333	29.051312666
20	1	16	1	38	1190.0	48.4733042215
10	3	27	1	41	879.333333333	27.0434343983
20	4	16	1	41	1229.66666667	33.4631027651
24	1	16	1	42	1243.0	52.435281768
20	6	16	1	43	1230.66666667	33.8014742707
24	4	16	1	45	1244.0	36.2159159126
24	6	16	1	47	1233.0	35.8514405072
20	6	21	1	48	1580.33333333	28.0504131824
15	6	27	1	49	1308.33333333	26.5069210022
15	3	32	1	51	1324.66666667	26.5132279836
24	1	25	1	51	1674.66666667	45.7429423164
20	6	25	1	52	1757.0	25.3295989624
20	6	27	1	54	1781.66666667	25.263684902
22	6	25	1	54	1835.66666667	27.2596991497
22	6	27	1	56	1905.66666667	25.0868704822
24	4	27	1	56	1970.0	26.1820897334
24	6	27	1	58	2020.66666667	26.1357135695
22	6	31	1	60	1939.33333333	24.9634457896
24	4	32	1	61	2112.33333333	24.6239738911
24	6	31	1	62	2102.66666667	24.2798437991
24	6	32	1	63	2097.33333333	24.2171412056
24	7	32	1	64	2122.0	24.2941340042
24	4	35	1	64	2135.0	24.3710032913
25	7	32	1	65	2205.33333333	24.6686900453
25	6	35	1	67	2200.66666667	24.2869408319
31	3	32	1	67	2367.0	34.2197137958
25	7	35	1	68	2198.0	24.127013768
31	4	32	1	68	2396.0	29.8879367596
24	7	37	1	69	2117.33333333	24.0828028125
31	6	31	1	69	2281.33333333	27.2674658544
25	6	38	1	70	2208.33333333	24.1415832204
30	7	32	1	70	2389.66666667	25.3357231259
31	6	32	1	70	2452.0	25.8320776749
31	7	32	1	71	2435.0	25.6862200715
30	6	35	1	72	2564.0	23.9558756082
31	6	35	1	73	2593.66666667	24.3205517976
30	6	38	1	75	2620.66666667	23.1887960885
30	7	37	1	75	2621.33333333	23.6251681622
31	6	38	1	76	2728.33333333	23.0796652856
35	4	37	1	77	2791.33333333	29.1312629103
36	6	35	1	78	2741.66666667	25.7483638101
30	6	42	1	79	2658.66666667	23.0652577086
31	5	42	1	79	2738.0	23.1254555781
31	6	42	1	80	2740.66666667	23.0625313892
35	6	38	1	80	2818.66666667	24.2205936024
36	5	38	1	80	2900.33333333	25.7374171754
36	6	38	1	81	2826.66666667	24.9592612051
31	5	45	1	82	2729.66666667	23.0293386662
31	6	45	1	83	2720.66666667	22.8810429712
31	5	46	1	83	2736.33333333	22.9949401134
38	6	38	1	83	2843.0	25.6892769705
36	4	42	1	83	2956.66666667	27.9461533566
35	6	42	1	84	3011.0	22.3865979271
36	5	42	1	84	3042.66666667	24.3483928643
38	4	42	1	85	3089.33333333	29.3761466524
35	5	45	1	86	3040.33333333	23.9717225872
38	5	42	1	86	3091.33333333	25.5315856814
36	5	45	1	87	3116.33333333	24.3905668865
36	6	45	1	88	3186.66666667	22.0449759139
35	6	47	1	89	3086.66666667	22.039105992
38	6	45	1	90	3255.0	22.5602336508
38	6	47	1	92	3342.33333333	21.853413898
42	5	45	1	93	3390.33333333	26.6950176984
38	9	46	1	94	3342.0	21.2940514365
42	6	45	1	94	3352.33333333	24.6901494322
38	8	47	3	96	3359.33333333	21.2903943161
42	8	45	1	96	3412.0	22.8017664804
42	6	47	1	96	3515.33333333	22.9148394022
38	8	50	1	97	3360.33333333	21.3548244999
38	6	52	1	97	3367.33333333	21.57262097
38	9	50	1	98	3336.33333333	21.2673775788
45	6	47	1	99	3529.33333333	25.0907701973
42	8	50	1	101	3670.66666667	20.6426825951
45	8	50	1	104	3790.33333333	21.446148679
46	6	52	1	105	3831.33333333	23.4620017092
45	11	50	1	107	3753.66666667	21.0938173362
50	5	52	1	108	3870.66666667	29.055407297
42	14	52	1	109	3680.0	20.5666581832
50	6	52	1	109	3867.0	25.2111482654
45	8	58	1	112	3971.33333333	19.7254613747
45	8	59	1	113	3961.0	19.7186211192
50	5	57	1	113	4005.33333333	28.0135407442
46	8	59	1	114	4067.66666667	19.4150186396
50	6	59	1	116	4144.66666667	23.9313968469
46	11	59	1	117	4056.0	19.1278453622
50	8	59	1	118	4335.66666667	19.1015777085
50	8	60	2	120	4384.66666667	18.8523660554
54	8	59	1	122	4394.66666667	19.5316512604
54	17	58	1	130	4426.0	19.3629115827
50	39	60	1	150	4422.33333333	18.5843660989
60	30	60	1	151	4550.33333333	20.0097162668
