greeter	screener	dispenser	medic	resources	throughput	time
4	3	4	3	14	135.0	28.7997664791
4	5	3	3	15	140.666666667	29.3915901527
6	3	3	3	15	199.333333333	29.9645003189
6	3	4	3	16	210.333333333	28.4443705006
7	3	3	3	16	237.333333333	31.4957722232
7	3	4	3	17	246.0	29.289982114
4	4	5	5	18	137.666666667	28.3411798665
6	4	4	4	18	212.333333333	28.5486712838
6	6	3	3	18	214.333333333	29.0163420386
7	4	4	3	18	249.333333333	29.4173533579
6	3	7	3	19	209.0	27.7229103138
8	3	4	4	19	279.0	29.7314979701
8	3	6	3	20	280.666666667	28.5727622024
8	4	5	3	20	284.666666667	28.9281612706
7	5	6	3	21	251.333333333	28.4206013623
7	4	5	5	21	253.333333333	28.5023706453
8	3	7	3	21	285.0	28.7171303456
8	5	5	3	21	285.333333333	28.8809474416
6	3	6	7	22	214.0	28.3451635098
8	4	7	3	22	286.666666667	28.8127443164
8	3	8	4	23	280.666666667	28.45884835
8	6	6	3	23	281.0	28.4672195618
8	4	8	4	24	289.0	28.0370306038
8	8	10	3	29	289.666666667	28.9457801316
