greeter	screener	dispenser	medic	resources	throughput	time
3	3	3	3	12	107.333333333	27.9379752281
5	3	3	3	14	175.666666667	30.5502040079
5	3	4	3	15	180.666666667	29.4207866439
3	4	5	4	16	107.666666667	28.1686399077
3	3	5	5	16	107.666666667	28.1686399077
3	6	4	3	16	109.666666667	28.3236506815
3	3	4	6	16	109.666666667	28.3236506815
7	3	3	3	16	229.666666667	33.0124496942
6	4	4	3	17	205.333333333	28.8254442588
7	3	4	3	17	246.333333333	28.9462035914
8	3	4	3	18	272.0	30.8034007067
6	4	6	3	19	217.0	28.5668549062
7	3	5	5	20	243.666666667	27.9836044747
7	3	6	4	20	253.0	29.069461488
7	5	5	4	21	244.666666667	28.0517394251
8	3	5	5	21	284.333333333	28.4860648375
8	3	6	4	21	284.666666667	29.4019335432
8	3	7	4	22	284.666666667	29.104850819
8	4	7	3	22	284.666666667	29.104850819
8	3	8	3	22	288.0	29.3689250506
8	4	8	3	23	287.666666667	29.3380781397
