greeter	screener	dispenser	medic	resources	throughput	time
1	1	16	1	19	84.0	30.065743488
1	5	16	1	23	88.6666666667	29.9263881493
4	10	14	1	29	357.333333333	28.9392225931
10	7	14	1	32	888.666666667	27.8219467602
15	1	14	2	32	993.666666667	45.6851148933
15	1	16	1	33	991.0	44.4450441205
10	6	16	2	34	880.333333333	27.5536514881
12	7	14	1	34	1034.0	27.6809579294
15	6	14	1	36	1066.0	31.5346961221
15	5	16	2	38	1199.0	29.0177652056
12	7	19	1	39	1048.66666667	27.151893912
15	5	19	1	40	1307.66666667	26.6542284842
15	6	19	1	41	1314.66666667	26.323714577
15	5	21	1	42	1317.66666667	26.6177988134
15	6	21	1	43	1317.66666667	26.2369689147
18	5	19	1	43	1431.0	28.3797498488
18	5	21	1	45	1506.33333333	26.8182991404
15	9	21	1	46	1301.0	26.2109537887
15	6	25	1	47	1321.0	26.3876112446
18	7	21	1	47	1547.0	26.4999815054
15	5	27	1	48	1335.33333333	26.3489776852
18	5	25	1	49	1595.0	25.6357810556
18	5	27	1	51	1601.66666667	25.443533785
24	5	21	1	51	1613.66666667	30.993098938
22	5	25	2	54	1861.66666667	25.7817850036
24	5	25	1	55	1865.0	28.4234676528
24	5	27	1	57	2005.66666667	25.7496399317
22	5	31	1	59	1915.33333333	24.9770790601
24	7	27	1	59	2028.33333333	25.9770541844
24	5	31	1	61	2115.33333333	24.7610554167
24	7	31	1	63	2119.33333333	24.4813469659
24	9	31	1	65	2133.66666667	24.2478874205
25	7	31	2	65	2166.66666667	24.574759422
25	9	31	1	66	2177.0	24.4755943174
27	7	31	1	66	2301.0	24.719797203
24	7	35	1	67	2107.0	24.1908113481
25	7	35	1	68	2213.0	24.2572295968
27	7	35	1	70	2365.0	23.8363258825
27	9	35	1	72	2378.66666667	23.8610324796
31	7	35	1	74	2627.66666667	24.0004807706
31	9	35	1	76	2673.66666667	23.741888442
31	7	39	1	78	2734.33333333	23.0950020806
31	9	38	1	79	2725.0	22.7800147799
36	5	39	1	81	2776.33333333	30.6424636308
31	9	42	1	83	2735.33333333	22.685616047
38	6	38	1	83	2856.66666667	28.6622868615
38	5	39	1	83	2891.33333333	31.4555617605
31	9	45	1	86	2727.66666667	22.6557333472
31	7	47	1	86	2741.0	22.910918586
38	9	39	1	87	2919.66666667	24.9359448387
38	11	39	1	89	2944.0	24.5726252031
31	11	47	1	90	2761.66666667	22.6097972038
35	15	39	1	90	2942.33333333	22.8737123775
38	6	45	1	90	3102.33333333	27.2851196406
38	11	42	1	92	3185.0	22.6119418877
35	15	42	1	93	3071.0	22.1987408221
38	9	47	1	95	3346.33333333	21.3673270764
38	9	50	1	98	3344.0	21.1334934566
42	11	47	1	101	3474.33333333	21.9145790701
45	11	47	1	104	3492.0	23.303111157
45	12	47	1	105	3499.0	22.9464397095
46	11	47	1	105	3520.66666667	23.0573170296
46	12	47	1	106	3598.66666667	22.4422070002
45	11	50	1	107	3761.33333333	21.0624925119
42	13	52	1	108	3699.33333333	20.3215005731
46	11	50	1	108	3887.66666667	20.7371737554
45	11	52	1	109	3864.0	20.4424048338
45	13	52	1	111	3885.0	20.3144885047
46	12	52	1	111	3911.0	20.6437868858
42	13	57	1	113	3702.66666667	20.205240352
46	11	57	1	115	4043.0	19.4663967689
46	12	57	1	116	4047.0	19.6552536138
46	13	57	1	117	4054.33333333	19.5157164818
46	11	60	1	118	4063.66666667	19.345707057
50	11	57	1	119	4242.33333333	19.4093993134
55	13	57	1	126	4245.33333333	20.6832530394
55	11	60	1	127	4476.0	19.68527113
50	20	57	1	128	4248.66666667	19.4907324185
55	39	60	1	155	4481.66666667	19.5612138329
