greeter	screener	dispenser	medic	resources	throughput	time
9	12	5	1	27	393.0	68.6205010925
6	15	5	2	28	413.0	52.2942100487
1	1	27	6	35	510.666666667	39.2469820213
4	6	25	7	42	1925.0	31.7278273524
6	6	27	6	45	2082.0	41.083177221
1	20	26	1	48	615.0	31.2479782675
15	1	27	6	49	2105.33333333	49.963397542
7	6	38	1	52	2899.66666667	46.9735000854
1	20	26	7	54	615.0	28.3235183006
8	12	34	1	55	2596.0	45.0175371499
18	6	27	6	57	2105.33333333	44.7434551822
9	12	30	7	58	2333.33333333	37.6557456493
16	3	38	1	58	2843.0	46.2015856717
4	12	39	5	60	2466.33333333	23.486056714
4	14	36	6	60	2476.0	23.5850766956
20	1	34	5	60	2603.66666667	44.7170177888
6	6	38	11	61	2839.0	32.9060041151
18	6	38	1	63	2921.33333333	47.3834096307
9	12	39	5	65	2972.0	34.1232163766
9	12	39	7	67	3005.33333333	34.1935591586
4	22	37	5	68	2489.66666667	23.3958764799
6	15	41	6	68	3064.33333333	25.5491499257
6	15	42	7	70	3153.0	25.1050171648
4	22	37	11	74	2489.33333333	23.3903331167
9	12	52	1	74	3967.0	44.4558915994
15	3	55	5	78	4138.0	37.8846230434
16	3	55	5	79	4166.33333333	37.9551261903
9	12	52	7	80	3908.0	27.8299266531
8	13	57	7	85	4356.33333333	21.0673451503
11	13	57	5	86	4411.33333333	29.5122456414
16	3	58	11	88	4492.66666667	36.229061242
15	1	60	21	97	4529.33333333	35.9097182882
15	3	60	21	99	4518.33333333	35.7021753668
24	13	57	7	101	4420.33333333	30.98206562
18	6	60	21	105	4549.0	34.512700458
24	13	58	11	106	4491.0	30.5611507819
10	28	58	11	107	4422.33333333	22.5021467471
7	35	58	11	111	4286.33333333	19.1834475724
16	14	60	21	111	4549.0	29.9645805357
10	28	60	14	112	4531.33333333	21.8593087105
9	24	60	21	114	4562.66666667	20.7245772299
19	24	60	21	124	4655.33333333	23.3013757567
18	26	60	21	125	4674.33333333	21.4953994601
22	41	58	11	132	4432.33333333	19.584473264
37	47	52	11	147	3975.66666667	19.1321998353
22	58	58	11	149	4559.0	17.6282879108
25	39	60	58	182	4673.33333333	17.388817154
