greeter	screener	dispenser	medic	resources	throughput	time
1	1	1	1	4	79.6666666667	57.3175148097
1	1	2	1	5	160.333333333	57.8504429105
1	3	1	1	6	68.0	53.1250539078
1	4	2	1	8	144.333333333	54.9313390176
1	1	6	1	9	451.666666667	56.7984069744
1	6	2	1	10	163.0	52.2175854283
1	4	4	1	10	304.666666667	53.3882765818
1	6	3	1	11	232.333333333	52.6271683742
1	1	8	1	11	611.0	54.8240184958
1	4	6	1	12	480.333333333	52.20376718
1	4	7	1	13	543.0	53.9195719077
1	11	1	2	15	82.3333333333	47.4595081202
1	11	2	1	15	174.0	47.8954822302
1	7	6	1	15	483.666666667	50.7510292019
1	6	7	1	15	520.333333333	51.9173370846
1	13	1	1	16	76.0	47.4485235541
1	13	2	1	17	172.333333333	45.8340818756
1	11	4	1	17	308.0	47.3801046613
1	6	9	1	17	692.0	50.6761959656
1	11	5	1	18	386.333333333	46.3141826792
1	4	12	1	18	930.666666667	51.0418046854
1	15	1	2	19	86.0	42.1620261637
1	11	6	1	19	449.666666667	46.1036243722
1	5	12	1	19	908.333333333	50.5384711298
1	1	16	1	19	1246.66666667	52.199628824
1	13	5	1	20	377.333333333	45.6193986688
1	11	8	1	21	636.666666667	46.7409817598
1	4	16	1	22	1249.33333333	49.6694097735
1	17	4	1	23	292.333333333	40.3432537712
1	15	6	1	23	479.666666667	42.6677370513
1	6	15	1	23	1120.0	49.5538369306
1	15	7	1	24	542.0	42.5972416747
1	10	12	1	24	903.0	45.4939345355
1	1	21	1	24	1575.0	50.0744972109
1	20	3	1	25	218.333333333	37.9195174806
1	17	6	1	25	459.666666667	41.4786303041
1	14	9	1	25	693.333333333	44.5041012414
1	7	16	1	25	1221.0	47.7366678715
1	3	20	1	25	1539.66666667	48.499334272
1	20	4	1	26	316.0	39.418867989
1	17	7	1	26	577.0	41.1173192572
1	12	12	1	26	894.0	44.0399596271
1	10	14	1	26	1090.33333333	45.6214875409
1	1	23	1	26	1791.33333333	48.8194557581
1	17	8	1	27	610.666666667	40.9044354309
1	13	12	1	27	882.666666667	43.6263362954
1	4	21	1	27	1595.0	47.6636739324
1	20	6	1	28	498.0	37.9003590765
1	17	9	1	28	703.0	41.0711910989
1	14	12	1	28	924.333333333	42.552285705
1	10	16	1	28	1207.0	44.7927361546
1	15	12	1	29	962.666666667	42.302561936
1	12	15	1	29	1165.33333333	43.540038302
1	11	16	1	29	1214.0	44.4388162531
1	12	16	1	30	1181.0	42.6077452479
1	1	27	1	30	2003.33333333	48.3411670578
1	27	1	2	31	77.6666666667	33.2312295501
1	20	9	1	31	724.666666667	37.1874934814
1	17	12	1	31	924.333333333	39.9984341533
1	22	6	3	32	462.666666667	36.604587684
1	18	12	1	32	897.0	39.3330464924
1	9	21	1	32	1672.0	44.1403574473
1	4	26	1	32	1974.33333333	46.7299488369
1	26	5	1	33	371.666666667	33.3572393695
1	15	16	1	33	1248.66666667	40.5256302583
1	11	20	1	33	1517.66666667	43.5083995957
