greeter	screener	dispenser	medic	resources	throughput	time
6	3	4	3	16	212.666666667	28.6878091099
7	3	3	3	16	221.0	32.9077249993
6	3	5	3	17	221.333333333	29.3432477795
7	3	4	3	17	241.666666667	29.4059921824
6	5	4	3	18	220.666666667	28.7801268885
7	3	5	3	18	255.333333333	28.9341448663
8	3	5	3	19	280.666666667	28.2920919708
8	4	5	3	20	282.666666667	28.673981348
8	3	7	3	21	282.0	28.0744896326
8	5	5	3	21	283.666666667	28.5781540468
7	3	8	4	22	261.333333333	27.9542537539
8	3	8	3	22	285.666666667	28.3592801132
8	4	7	3	22	290.0	28.5774662491
8	5	8	4	25	286.0	28.425869998
8	5	10	5	28	292.666666667	28.7463247315
8	8	9	5	30	290.333333333	28.5885153626
8	5	12	5	30	292.666666667	28.6213050267
8	8	12	5	33	285.0	28.3256416542
8	7	15	3	33	285.0	28.3256416542
