greeter	screener	dispenser	medic	resources	throughput	time
4	7	5	1	17	341.0	29.5050519436
10	3	5	1	19	384.333333333	44.74068158
9	7	5	1	22	377.0	43.132494167
4	3	16	1	24	347.666666667	28.9340719349
12	7	5	1	25	390.333333333	46.1208581939
10	3	14	1	28	872.666666667	28.3371771448
10	3	16	1	30	880.0	27.8775066407
12	3	16	1	32	974.666666667	31.0178244319
9	7	16	1	33	795.666666667	27.7084561577
10	7	16	1	34	876.0	27.3092087655
12	7	14	1	34	1028.66666667	27.8953501561
10	6	19	1	36	886.0	27.3266476484
12	7	16	1	36	1053.0	27.4109617502
15	6	14	1	36	1069.0	31.7016896627
15	6	16	1	38	1211.33333333	28.8643145318
12	7	19	1	39	1037.33333333	27.0863153507
15	7	19	1	42	1326.33333333	26.7706898534
18	6	19	1	44	1409.33333333	29.043675696
15	6	25	1	47	1333.33333333	26.4829752209
18	7	21	1	47	1528.66666667	26.9968969231
15	7	25	1	48	1324.0	26.227026148
18	6	25	1	50	1577.66666667	25.9757102822
18	7	25	1	51	1582.0	25.8356071227
20	6	25	1	52	1750.0	26.3931276138
18	7	27	1	53	1597.0	25.9459909198
20	7	25	1	53	1753.33333333	25.9703208175
18	10	25	1	54	1588.33333333	25.8329212029
22	6	25	1	54	1806.66666667	27.4752436655
22	7	25	1	55	1830.66666667	26.5797651189
20	10	25	1	56	1750.0	25.3881873366
22	6	27	1	56	1864.0	26.5470792395
24	6	25	1	56	1882.33333333	29.1685560403
20	6	31	1	58	1766.66666667	25.6654164283
22	10	25	1	58	1859.33333333	25.9027100265
24	6	27	1	58	1936.33333333	28.1075229919
20	6	32	1	59	1757.33333333	25.6496951532
20	9	31	1	61	1754.66666667	25.1994257626
22	6	32	1	61	1895.66666667	26.374323314
25	9	27	1	62	2051.0	26.4832299549
22	9	31	1	63	1939.33333333	24.8358682524
25	7	31	1	64	2173.0	25.2357795125
25	9	31	1	66	2182.0	24.3652497893
25	7	35	1	68	2185.33333333	24.8786108205
28	9	31	1	69	2302.33333333	25.5842528725
25	9	35	1	70	2178.0	24.1501244206
25	14	31	1	71	2210.66666667	24.2458835508
25	15	32	1	73	2190.0	24.22017804
35	7	31	1	74	2343.0	32.5062140311
35	6	32	1	74	2370.66666667	33.1138062174
25	14	35	1	75	2215.0	23.827747819
28	15	31	1	75	2325.0	25.2604860791
25	9	41	1	76	2222.66666667	24.1216646111
28	15	32	1	76	2378.66666667	24.5773760936
25	9	42	1	77	2223.33333333	24.2132770149
28	14	35	1	78	2454.0	23.5844637041
35	7	35	1	78	2544.33333333	30.4715293824
28	9	42	1	80	2466.66666667	23.4206319102
37	7	35	1	80	2557.66666667	32.2921189578
31	9	41	1	82	2733.0	23.4261964564
31	9	42	1	83	2703.66666667	23.2614044916
28	14	41	1	84	2484.66666667	23.2252875324
31	15	38	1	85	2695.66666667	23.0812115768
31	14	41	1	87	2735.0	22.6883244663
35	15	38	1	89	2833.33333333	24.0238211191
35	14	41	1	91	3061.66666667	22.1551241276
35	14	42	1	92	3064.66666667	22.2152936556
38	15	41	1	95	3127.66666667	23.0005997862
35	14	46	1	96	3050.66666667	21.8059150354
38	15	42	1	96	3151.33333333	22.8084364564
35	15	46	1	97	3099.0	21.9272492075
40	14	42	1	97	3202.66666667	23.2849846576
37	14	46	1	98	3250.66666667	21.6015457331
38	15	45	1	99	3286.0	21.6628728259
38	15	46	1	100	3355.66666667	21.2845977418
38	13	50	1	102	3336.66666667	21.0813708944
40	11	50	1	102	3393.0	22.5341792673
42	14	46	1	103	3484.66666667	22.2373244069
42	15	46	1	104	3455.0	22.0221744241
40	14	52	1	107	3538.33333333	20.8470528492
46	11	50	1	108	3642.66666667	24.4251244766
42	14	52	1	109	3676.66666667	20.6861282218
46	13	50	1	110	3731.0	22.4026959249
42	20	50	1	113	3666.33333333	20.6847313515
47	14	52	1	114	3906.66666667	20.8415599823
42	15	58	1	116	3692.66666667	20.4462754659
42	20	57	1	120	3694.33333333	20.2375634393
53	14	52	1	120	4005.0	22.9679231033
42	27	52	1	122	3694.33333333	20.4819642813
50	20	57	1	128	4202.66666667	19.6895789061
47	21	60	1	129	4118.0	19.4458551588
53	17	58	1	129	4359.33333333	19.776376344
55	17	58	1	131	4378.33333333	19.7854825873
55	39	60	1	155	4473.33333333	19.4925566418
