greeter	screener	dispenser	medic	resources	throughput	time
4	6	16	1	27	348.666666667	29.213009475
15	6	6	1	28	434.666666667	45.8516382526
16	6	6	1	29	436.333333333	47.1949107047
9	6	14	1	30	788.666666667	27.5694837783
9	6	16	1	32	803.666666667	27.6754991893
9	10	14	1	34	789.666666667	27.5432220946
15	6	14	1	36	1055.33333333	31.7060548299
9	12	16	1	38	812.333333333	27.6237873319
15	6	16	1	38	1172.0	29.1470362361
16	6	16	1	39	1207.66666667	30.0026148618
15	10	16	1	42	1203.33333333	29.0328018589
15	7	20	1	43	1305.0	26.3709821554
15	7	21	1	44	1305.33333333	26.5236091898
16	6	21	1	44	1371.66666667	27.4007133936
15	10	21	1	47	1331.33333333	26.5438073581
15	7	25	1	48	1310.0	26.4645236703
16	6	25	1	48	1374.0	26.8617503616
20	6	21	1	48	1449.66666667	31.6518727697
16	11	21	1	49	1408.66666667	25.9209971809
18	6	25	1	50	1411.0	29.834946702
18	11	21	1	51	1545.0	26.515289991
18	9	25	1	53	1576.0	25.7450454629
20	11	21	1	53	1608.0	27.8066972201
18	11	25	1	55	1592.0	25.5013821211
20	9	25	1	55	1752.0	25.6786545999
20	11	25	1	57	1742.66666667	25.5392582507
22	9	25	1	57	1847.33333333	26.4992213687
22	10	25	1	58	1866.0	26.2188194413
20	9	30	1	60	1747.0	25.2243155858
22	9	30	1	62	1918.0	24.9724687542
22	9	31	1	63	1936.66666667	25.0204989858
22	10	32	1	65	1918.66666667	24.9083915965
25	9	30	1	65	2057.66666667	26.535012362
25	9	31	1	66	2073.66666667	26.5542000807
22	14	30	1	67	1946.66666667	24.6655954466
25	14	30	1	70	2167.33333333	25.0592433206
25	14	31	1	71	2170.66666667	24.4547382093
31	9	30	1	71	2193.0	30.2497081213
25	14	32	1	72	2187.66666667	24.4019522791
31	10	30	1	72	2244.33333333	28.8776327574
25	15	32	1	73	2188.33333333	24.2814460137
31	10	32	1	74	2367.0	27.9483117516
31	14	30	1	76	2232.0	27.850229026
31	14	31	1	77	2336.33333333	26.4593961984
25	15	37	1	78	2200.33333333	24.151457898
31	14	32	1	78	2425.66666667	25.8164977564
31	14	38	1	84	2706.66666667	22.9522200559
31	15	38	1	85	2746.33333333	22.7929017592
31	14	41	1	87	2723.0	22.5476203133
31	14	42	1	88	2729.66666667	22.7188512195
31	15	42	1	89	2734.33333333	22.7618088809
35	15	38	1	89	2828.66666667	23.5622978887
35	14	38	2	89	2851.33333333	24.1802325589
31	14	45	1	91	2723.66666667	22.6730043317
35	14	41	1	91	3015.0	22.7024736132
35	15	42	1	93	3071.66666667	22.1574906356
38	14	41	1	94	3107.66666667	23.6023924122
35	14	45	1	95	3054.33333333	21.992293706
35	14	46	1	96	3064.0	22.0111445524
38	15	42	1	96	3104.0	23.2612052547
35	15	46	1	97	3072.0	21.9622420293
38	14	45	1	98	3206.66666667	22.8608453261
38	15	45	1	99	3283.0	21.8566681027
38	15	46	1	100	3317.33333333	21.6247711778
42	15	45	1	103	3360.66666667	23.1754948814
38	15	52	1	106	3335.33333333	21.0924459743
47	15	45	1	108	3367.0	25.8544013176
47	14	46	1	108	3387.33333333	26.0803693849
50	14	45	1	110	3404.66666667	27.0950994346
46	20	45	1	112	3439.66666667	23.6588866662
50	15	46	1	112	3529.66666667	25.3435929405
47	20	46	1	114	3453.0	23.9273257617
42	15	57	1	115	3469.66666667	22.4428671546
42	15	60	1	118	3481.66666667	22.5594380681
50	21	46	1	118	3510.66666667	24.1430668427
42	20	57	1	120	3687.33333333	20.2381420789
47	20	52	1	120	3840.66666667	21.4759475554
47	21	52	1	121	3851.66666667	21.276363144
46	20	57	1	124	3980.66666667	19.8195531145
47	20	57	1	125	4080.66666667	19.5552595415
47	21	57	1	126	4105.33333333	19.3960318502
47	20	60	1	128	4127.0	19.4941874688
50	20	57	1	128	4170.33333333	19.7371953212
47	21	60	1	129	4134.66666667	19.3423718842
47	39	60	1	147	4127.33333333	19.3386721468
50	39	57	1	147	4225.66666667	19.6204257766
50	39	60	1	150	4364.0	18.8060994016
55	39	60	1	155	4528.33333333	19.3269951434
