greeter	screener	dispenser	medic	resources	throughput	time
4	6	14	1	25	354.666666667	28.7403168527
12	6	6	3	27	468.0	43.2819826546
18	6	6	1	31	484.0	49.9661082173
9	6	16	1	32	808.0	27.5943106161
12	6	14	1	33	1033.0	27.9202772503
12	6	16	1	35	1063.33333333	27.3210140187
15	6	16	1	38	1178.66666667	29.2665101492
12	6	20	1	39	1052.66666667	26.9533808704
15	7	16	1	39	1197.0	29.1752216008
12	6	21	1	40	1069.33333333	27.0271892433
15	6	20	1	42	1230.66666667	28.3739976131
15	6	21	1	43	1219.33333333	28.2573200062
18	6	21	1	46	1272.0	32.2949242921
15	6	25	1	47	1237.0	27.6380189275
15	7	25	1	48	1311.33333333	26.4322194714
15	13	20	1	49	1298.66666667	26.3480159179
22	6	21	1	50	1325.0	35.3240553474
15	10	25	1	51	1312.66666667	26.3285198879
18	13	20	1	52	1509.0	27.0771231379
18	10	25	1	54	1595.33333333	25.6926613557
20	9	25	1	55	1743.33333333	26.0461460412
20	10	25	1	56	1752.33333333	25.4966998966
22	10	25	1	58	1886.66666667	25.9011226813
22	11	25	1	59	1858.33333333	25.5177033287
20	9	30	1	60	1765.33333333	25.269325098
20	10	30	1	61	1735.66666667	25.1430422186
20	9	31	1	61	1770.0	25.3701067781
20	10	31	1	62	1779.0	25.245641017
22	14	25	1	62	1889.33333333	25.7323667641
22	10	30	1	63	1923.0	25.1311840134
22	10	31	1	64	1937.0	24.884249887
22	13	30	1	66	1938.33333333	24.6449338519
24	10	31	1	66	2036.33333333	25.3234481677
24	12	31	1	68	2111.66666667	24.3440147908
28	12	31	1	72	2299.33333333	26.0721157095
28	14	31	1	74	2296.66666667	25.1995920107
28	12	34	1	75	2432.0	24.2594417913
28	12	36	1	77	2438.66666667	24.3505954314
31	14	32	1	78	2453.0	25.4708242978
28	14	36	1	79	2459.66666667	23.5537263138
31	14	34	1	80	2558.66666667	24.025113735
30	14	36	1	81	2630.33333333	23.4883637524
31	14	36	1	82	2652.33333333	23.5557320307
28	15	42	1	86	2458.0	23.4844362445
35	14	36	1	86	2677.0	25.8925869797
30	14	42	1	87	2640.66666667	23.0539550427
35	15	36	1	87	2701.33333333	25.3806236782
31	15	41	1	88	2736.33333333	22.7210947988
35	15	41	1	92	2968.33333333	22.9458987639
35	15	42	1	93	3023.0	22.4179801069
38	15	41	1	95	3064.66666667	23.7161975391
38	15	45	2	100	3079.33333333	23.6136468461
35	15	53	1	104	3037.33333333	22.3331566164
38	15	50	1	104	3092.33333333	23.4753950148
46	15	42	1	104	3175.33333333	26.3465118255
35	21	50	1	107	3091.33333333	21.8201775361
38	15	53	1	107	3098.66666667	23.4735445183
46	15	46	1	108	3202.0	26.1527777641
40	27	42	1	110	3120.0	23.7437925245
38	15	57	1	111	3111.33333333	23.2741024755
40	21	50	1	112	3500.33333333	20.8665599372
40	21	53	1	115	3512.33333333	20.8444774436
46	21	50	2	119	3724.66666667	21.6656900732
40	27	53	1	121	3510.0	20.7797530545
46	20	57	1	124	3989.0	19.8053222808
47	21	57	1	126	4080.0	19.4963473046
50	20	57	1	128	4124.66666667	20.6254148697
46	39	60	1	146	4056.0	19.3559129746
47	39	60	1	147	4117.66666667	19.3053851129
50	39	60	1	150	4363.0	18.9046554601
55	39	60	1	155	4428.66666667	19.4290415007
