greeter	screener	dispenser	medic	resources	throughput	time
15	3	5	2	25	399.0	59.2978732126
8	3	16	6	33	1245.66666667	56.2460290702
4	6	12	13	35	961.333333333	41.8732304934
4	1	27	6	38	1931.0	46.2109222687
9	12	12	7	40	930.0	39.5775506099
1	33	5	2	41	363.333333333	39.4545728076
4	6	25	7	42	1884.0	30.1644634599
15	1	27	6	49	2034.33333333	52.744840094
8	6	38	1	53	2844.0	52.151090695
9	6	38	1	54	2953.66666667	54.5627786313
22	21	1	11	55	92.3333333333	27.5873327245
4	6	41	6	57	2470.66666667	23.5766820481
13	6	38	1	58	2917.0	53.0673899134
4	6	46	5	61	2462.33333333	23.48202257
4	24	38	1	67	2481.66666667	32.3803577661
22	6	38	1	67	2999.33333333	48.8637529435
9	14	41	5	69	3095.0	28.5586895408
15	3	55	5	78	4161.66666667	42.9206195787
16	3	55	5	79	4204.0	40.7523270233
12	6	47	16	81	3591.0	38.0750715891
5	26	47	5	83	3074.33333333	22.161422114
8	6	58	11	83	4366.33333333	26.1560375599
15	1	60	7	83	4608.66666667	40.5764281788
9	12	58	5	84	4387.33333333	22.4217943914
9	12	58	11	90	4412.66666667	21.8019349029
19	24	42	11	96	3213.0	21.2458553824
19	24	47	7	97	3498.0	20.793200338
16	12	58	11	97	4444.66666667	27.6408671976
22	14	60	4	100	4500.33333333	30.0577298004
20	21	55	5	101	4146.66666667	20.3502014759
22	14	58	7	101	4454.66666667	25.1251133939
16	26	60	4	106	4616.33333333	25.9876237504
22	21	57	7	107	4299.33333333	19.0436428757
22	21	58	7	108	4491.66666667	18.8458836204
16	26	60	6	108	4645.33333333	21.4738085107
22	21	55	11	109	4213.66666667	18.7152181689
25	21	57	7	110	4384.66666667	18.4135409089
25	26	57	7	115	4385.0	18.799176425
25	26	60	4	115	4669.0	25.8383720766
25	26	58	7	116	4455.66666667	18.2910732903
9	26	60	21	116	4537.33333333	21.1241904292
25	26	60	7	118	4643.0	17.9389520316
15	26	60	23	124	4674.33333333	20.3354246181
22	21	60	23	126	4568.0	17.7083422353
25	26	60	19	130	4604.66666667	17.5300506706
15	39	60	23	137	4686.0	20.3761503451
42	26	60	23	151	4633.0	17.4122887321
